simulacion,tiempo_s,velocidad_max_mps,velocidad_max_kmh,masa_kg,cda_m2,crr,empuje_n,exito
5497,0.891,25.89,93.2,0.04857,0.002568,0.01952,11.31,1
5510,1.089,21.17,76.2,0.05165,0.003565,0.01679,10.09,1
5523,1.392,16.63,59.9,0.05185,0.003345,0.01934,8.85,1
5536,1.075,21.59,77.7,0.05456,0.003192,0.01981,9.6,1
5549,1.174,19.75,71.1,0.05144,0.002973,0.01885,9.17,1
5562,1.079,21.5,77.4,0.05374,0.003044,0.01596,10.68,1
5575,1.1655,19.67,70.8,0.05127,0.003105,0.01928,10.08,1
5588,1.426,16.19,58.3,0.05156,0.003099,0.01591,8.54,1
5601,1.1825,19.73,71.0,0.05203,0.00346,0.02017,9.52,1
5614,1.006,22.83,82.2,0.05294,0.003378,0.02359,11.11,1
5627,1.0255,22.52,81.1,0.05031,0.002882,0.02437,9.61,1
5640,1.3395,17.24,62.1,0.051,0.003181,0.0226,9.44,1
5653,1.127,20.64,74.3,0.05242,0.003503,0.01779,8.83,1
5666,0.952,24.57,88.5,0.05393,0.00312,0.02507,9.84,1
5679,1.1405,20.34,73.2,0.05155,0.003546,0.01536,10.41,1
5692,0.9785,23.52,84.7,0.05185,0.002958,0.01888,10.66,1
5705,1.3335,17.85,64.3,0.05356,0.003684,0.02396,9.27,1
5718,1.0895,21.03,75.7,0.05331,0.002949,0.01913,10.94,1
5731,1.1825,19.35,69.7,0.05228,0.003272,0.02192,10.37,1
5744,1.2705,18.33,66.0,0.05198,0.003152,0.01568,9.88,1
5757,1.0025,22.91,82.5,0.05245,0.002967,0.01805,10.64,1
5770,1.0085,22.82,82.1,0.05196,0.002905,0.02188,10.49,1
5783,1.3585,17.17,61.8,0.05269,0.003245,0.01976,7.8,1
5796,1.125,20.51,73.8,0.05218,0.003195,0.01995,9.95,1
5809,1.1335,20.37,73.3,0.05343,0.002931,0.02341,8.96,1
5822,1.22,18.72,67.4,0.0515,0.002792,0.01926,9.97,1
5835,1.096,21.19,76.3,0.05079,0.003494,0.01957,8.98,1
5848,1.203,19.11,68.8,0.05258,0.002973,0.02323,9.3,1
5861,1.077,21.62,77.8,0.05203,0.003426,0.02132,9.8,1
5874,1.186,19.34,69.6,0.05113,0.002985,0.02123,9.61,1
5887,1.1295,20.44,73.6,0.05232,0.003373,0.02187,10.43,1
5900,1.207,19.28,69.4,0.05099,0.003291,0.02147,9.29,1
5913,1.0645,21.62,77.8,0.05119,0.003353,0.01681,10.77,1
5926,0.8985,25.91,93.3,0.05251,0.002978,0.0158,11.4,1
5939,1.1415,20.31,73.1,0.05391,0.003544,0.01667,10.14,1
5952,1.003,23.42,84.3,0.0519,0.00349,0.02498,10.76,1
5965,1.179,19.55,70.4,0.05225,0.003572,0.02035,9.92,1
5978,1.189,19.55,70.4,0.05138,0.003078,0.01415,9.1,1
5991,1.153,20.17,72.6,0.05395,0.003367,0.02049,9.41,1
6004,1.1895,19.55,70.4,0.05118,0.003194,0.02101,8.93,1
6017,1.183,19.53,70.3,0.05009,0.003344,0.01555,9.28,1
6030,1.117,20.71,74.6,0.05303,0.003358,0.01968,10.23,1
6043,1.076,21.51,77.5,0.05222,0.003202,0.02059,9.65,1
6056,1.1045,21.13,76.1,0.05036,0.003392,0.01932,9.85,1
6069,1.3805,16.9,60.8,0.05254,0.003207,0.01915,8.76,1
6082,0.956,24.45,88.0,0.05245,0.002702,0.02598,9.58,1
6095,1.2415,18.38,66.2,0.05337,0.002953,0.02511,9.92,1
6108,1.109,20.95,75.4,0.05129,0.002893,0.0194,8.73,1
